"Wave","Domein","Subdomein","API-route","Methods","Auth","Bestand","Status"
"6","admin","","/api/admin/customer-report-test-mail","POST","admin-token","admin/customer-report-test-mail.js","todo"
"6","admin","","/api/admin/customer-returns","GET","admin-token","admin/customer-returns.js","todo"
"6","admin","","/api/admin/customer-segments","GET/POST","admin-token","admin/customer-segments.js","todo"
"6","admin","","/api/admin/customer-targets","DELETE/GET/POST","admin-token","admin/customer-targets.js","todo"
"6","admin","","/api/admin/customer-timeline","GET","admin-token","admin/customer-timeline.js","todo"
"6","admin","","/api/admin/declarations","GET","admin-token","admin/declarations.js","todo"
"6","admin","","/api/admin/delivery-routes","GET/POST","admin-token","admin/delivery-routes.js","todo"
"6","admin","","/api/admin/derving","GET/POST","admin-token","admin/derving.js","todo"
"6","admin","","/api/admin/detect-known-person","GET","admin-token","admin/detect-known-person.js","todo"
"6","admin","","/api/admin/dhl-hubs","GET/POST","admin-token","admin/dhl-hubs.js","todo"
"6","admin","","/api/admin/dhl-test","GET","admin-token","admin/dhl-test.js","todo"
"6","admin","","/api/admin/dispute-handler","GET/POST","admin-token","admin/dispute-handler.js","todo"
"6","admin","","/api/admin/dragers","GET","admin-token","admin/dragers.js","todo"
"6","admin","","/api/admin/dragers-history","GET","admin-token","admin/dragers-history.js","todo"
"6","admin","","/api/admin/email-template","GET/POST","admin-token","admin/email-template.js","todo"
"6","admin","","/api/admin/env-check","GET","admin-token","admin/env-check.js","todo"
"6","admin","","/api/admin/faq","DELETE/POST","admin-token","admin/faq.js","todo"
"6","admin","","/api/admin/fast-omnichannel","GET","admin-token","admin/fast-omnichannel.js","todo"
"6","admin","","/api/admin/feature-flags","GET/POST","admin-token","admin/feature-flags.js","todo"
"6","admin","","/api/admin/forecast-voorraad-risico","GET","admin-token","admin/forecast-voorraad-risico.js","todo"
"6","admin","","/api/admin/foto-fotograaf","GET","admin-token","admin/foto-fotograaf.js","todo"
"6","admin","","/api/admin/foto-inkoop","GET","admin-token","admin/foto-inkoop.js","todo"
"6","admin","","/api/admin/function-help","DELETE/POST","admin-token","admin/function-help.js","todo"
"6","admin","","/api/admin/function-templates","DELETE/GET/POST","admin-token","admin/function-templates.js","todo"
"6","admin","","/api/admin/ga4-test","GET","admin-token","admin/ga4-test.js","todo"
"6","admin","","/api/admin/gala-events","DELETE/GET/POST","admin-token","admin/gala-events.js","todo"
"6","admin","","/api/admin/google-ads-test","GET","admin-token","admin/google-ads-test.js","todo"
"6","admin","","/api/admin/google-reviews","GET?","admin-token","admin/google-reviews.js","todo"
"6","admin","","/api/admin/hq-bot","POST","admin-token","admin/hq-bot.js","todo"
"6","admin","","/api/admin/login-history","GET","admin-token","admin/login-history.js","todo"
"6","admin","mail-automations","/api/admin/mail-automations/status","GET","admin-token","admin/mail-automations/status.js","todo"
"6","admin","","/api/admin/mail-log","GET","admin-token","admin/mail-log.js","todo"
"6","admin","","/api/admin/mail-log-content","GET","admin-token","admin/mail-log-content.js","todo"
"6","admin","","/api/admin/mail-log-purge","POST","admin-token","admin/mail-log-purge.js","todo"
"6","admin","","/api/admin/mail-logs","GET","admin-token","admin/mail-logs.js","todo"
"6","admin","","/api/admin/marketing","GET/POST","admin-token","admin/marketing.js","todo"
"6","admin","","/api/admin/marketing-advisor","GET","admin-token","admin/marketing-advisor.js","todo"
"6","admin","","/api/admin/marketing-analytics","GET","admin-token","admin/marketing-analytics.js","todo"
"6","admin","","/api/admin/marketing-data-health","GET","admin-token","admin/marketing-data-health.js","todo"
"6","admin","","/api/admin/marketing-mer","GET","admin-token","admin/marketing-mer.js","todo"
"6","admin","","/api/admin/marketing-poas","GET/POST","admin-token","admin/marketing-poas.js","todo"
"6","admin","","/api/admin/marketing-search-terms","GET","admin-token","admin/marketing-search-terms.js","todo"
"6","admin","","/api/admin/marketing-winkelprestaties","GET","admin-token","admin/marketing-winkelprestaties.js","todo"
"6","admin","","/api/admin/merchandiser","GET/POST","admin-token","admin/merchandiser.js","todo"
"6","admin","","/api/admin/meta-ads-test","GET","admin-token","admin/meta-ads-test.js","todo"
"6","admin","","/api/admin/meta-boost","GET/POST","admin-token","admin/meta-boost.js","todo"
"6","admin","","/api/admin/migrate-afdelingen-to-groups","GET/POST","admin-token","admin/migrate-afdelingen-to-groups.js","todo"
"6","admin","","/api/admin/migrate-departments","GET/POST","admin-token","admin/migrate-departments.js","todo"
"6","admin","","/api/admin/mixmatch","GET/POST","admin-token","admin/mixmatch.js","todo"
"6","admin","","/api/admin/mixmatch-analytics","GET","admin-token","admin/mixmatch-analytics.js","todo"
"6","admin","","/api/admin/mixmatch-assign-template","POST","admin-token","admin/mixmatch-assign-template.js","todo"
"6","admin","","/api/admin/mixmatch-color-groups","GET","admin-token","admin/mixmatch-color-groups.js","todo"
"6","admin","","/api/admin/mixmatch-publish-bundle","POST","admin-token","admin/mixmatch-publish-bundle.js","todo"
"6","admin","","/api/admin/monthly-store-mail-stats","GET","admin-token","admin/monthly-store-mail-stats.js","todo"
"6","admin","","/api/admin/monthly-winners","GET","admin-token","admin/monthly-winners.js","todo"
"6","admin","","/api/admin/newsletter-ai","POST","admin-token","admin/newsletter-ai.js","todo"
"6","admin","","/api/admin/newsletters","GET/POST","admin-token","admin/newsletters.js","todo"
"6","admin","","/api/admin/office-users","DELETE/GET/POST","admin-token","admin/office-users.js","todo"
"6","admin","","/api/admin/omzet-forecast","GET","admin-token","admin/omzet-forecast.js","todo"
"6","admin","","/api/admin/open-weborders-detail","GET","admin-token","admin/open-weborders-detail.js","todo"
"6","admin","","/api/admin/order-cutoff-config","GET/POST","admin-token","admin/order-cutoff-config.js","todo"
"6","admin","","/api/admin/overdue-reminder-status","GET","admin-token","admin/overdue-reminder-status.js","todo"
"6","admin","","/api/admin/pagespeed","GET","admin-token","admin/pagespeed.js","todo"
"6","admin","","/api/admin/pak-mail","GET/POST","admin-token","admin/pak-mail.js","todo"
"6","admin","","/api/admin/permissions-audit","GET","admin-token","admin/permissions-audit.js","todo"
"6","admin","","/api/admin/portal-config","GET/POST","admin-token","admin/portal-config.js","todo"
"6","admin","","/api/admin/product-audit","GET","admin-token","admin/product-audit.js","todo"
"6","admin","","/api/admin/pushowl","GET/POST","admin-token","admin/pushowl.js","todo"
"6","admin","","/api/admin/refunds-daily","GET","admin-token","admin/refunds-daily.js","todo"
"6","admin","","/api/admin/report-schedules","GET/POST/PUT","admin-token","admin/report-schedules.js","todo"
"6","admin","","/api/admin/resend-audience","GET/POST","admin-token","admin/resend-audience.js","todo"
"6","admin","","/api/admin/resend-sender","GET/POST","admin-token","admin/resend-sender.js","todo"
"6","admin","","/api/admin/reservering-config","GET/POST","admin-token","admin/reservering-config.js","todo"
"6","admin","","/api/admin/reservering-filialen","GET","admin-token","admin/reservering-filialen.js","todo"
"6","admin","","/api/admin/reserveringen","GET","admin-token","admin/reserveringen.js","todo"
